Timestamp,Year.,Branch,at what time do you usually go to sleep? (be honest),at what time do you usually wake up? (be honest)
6/12/2022 18:46:02,3rd,ECE,10:45:00 PM,6:15:00 AM
6/12/2022 18:57:41,1st,ISE,10:30:00 PM,6:00:00 AM
6/12/2022 18:57:53,1st,ISE,12:00:00 PM,6:30:00 AM
6/12/2022 18:58:03,2nd,ISE,1:30:00 AM,9:00:00 AM
6/12/2022 18:59:31,2nd,ISE,11:30:00 PM,9:30:00 AM
6/12/2022 19:00:58,2nd,ISE,2:00:00 AM,7:00:00 AM
6/12/2022 19:01:34,2nd,ISE,11:00:00 AM,8:00:00 AM
6/12/2022 19:02:44,2nd,ISE,2:30:00 AM,10:30:00 AM
6/12/2022 19:05:44,1st,Civil,12:30:00 PM,9:00:00 AM
6/12/2022 19:06:24,2nd,EEE,2:00:00 AM,7:00:00 AM
6/12/2022 19:06:31,2nd,ISE,2:00:00 AM,10:00:00 AM
6/12/2022 19:07:19,2nd,ISE,10:00:00 AM,7:30:00 AM
6/12/2022 19:07:26,2nd,ISE,12:00:00 AM,8:00:00 AM
6/12/2022 19:07:42,2nd,ISE,12:00:00 AM,8:30:00 AM
6/12/2022 19:07:51,1st,EEE,12:30:00 AM,9:30:00 AM
6/12/2022 19:08:12,2nd,ISE,12:30:00 PM,8:30:00 AM
6/12/2022 19:08:22,2nd,ISE,1:00:00 AM,8:00:00 AM
6/12/2022 19:08:41,2nd,ISE,11:00:00 AM,4:15:00 AM
6/12/2022 19:08:42,2nd,ISE,11:30:00 AM,8:30:00 AM
6/12/2022 19:09:15,3rd,ECE,2:00:00 AM,8:00:00 AM
6/12/2022 19:09:51,1st,CSE,12:00:00 PM,8:00:00 AM
6/12/2022 19:09:54,1st,Civil,2:22:00 AM,10:38:00 AM
6/12/2022 19:11:02,1st,AIML,11:00:00 AM,6:00:00 AM
6/12/2022 19:11:04,1st,Civil,10:00:00 PM,6:00:00 AM
6/12/2022 19:11:05,1st,AIML,2:00:00 AM,9:00:00 AM
6/12/2022 19:11:08,2nd,ISE,11:00:00 AM,7:30:00 AM
6/12/2022 19:11:35,2nd,EEE,2:00:00 AM,7:00:00 AM
6/12/2022 19:12:01,1st,ECE,12:00:00 PM,6:00:00 AM
6/12/2022 19:12:02,1st,AIML,11:00:00 PM,6:00:00 AM
6/12/2022 19:12:19,1st,AIML,1:00:00 AM,9:00:00 AM
6/12/2022 19:12:27,1st,ISE,2:00:00 AM,11:00:00 AM
6/12/2022 19:12:27,1st,ISE,3:00:00 AM,10:00:00 AM
6/12/2022 19:12:31,1st,ISE,2:00:00 AM,7:00:00 AM
6/12/2022 19:12:31,1st,ECE,1:30:00 AM,12:08:00 AM
6/12/2022 19:12:42,1st,AIML,11:00:00 AM,5:00:00 AM
6/12/2022 19:12:53,1st,AIML,1:00:00 PM,8:30:00 AM
6/12/2022 19:13:09,1st,ISE,12:00:00 AM,7:00:00 AM
6/12/2022 19:13:22,2nd,CSE,12:15:00 PM,8:30:00 AM
6/12/2022 19:14:03,2nd,CSE,12:30:00 AM,7:00:00 AM
6/12/2022 19:14:06,2nd,CSE,11:00:00 PM,7:30:00 AM
6/12/2022 19:14:36,1st,AIML,11:00:00 AM,9:00:00 AM
6/12/2022 19:14:51,1st,ISE,11:50:00 AM,6:40:00 AM
6/12/2022 19:15:13,1st,CSE,1:00:00 AM,6:30:00 AM
6/12/2022 19:15:14,1st,Mech,12:00:00 AM,10:00:00 AM
6/12/2022 19:15:24,2nd,CSE,9:00:00 AM,4:00:00 AM
6/12/2022 19:15:38,2nd,CSE,12:30:00 PM,8:00:00 AM
