Timestamp,Year.,Branch,at what time do you usually go to sleep? (be honest),at what time do you usually wake up? (be honest)
6/12/2022 18:46:02,3rd,ECE,22:45,06:15
6/12/2022 18:57:41,1st,ISE,22:30,06:00
6/12/2022 18:57:53,1st,ISE,00:00,06:30
6/12/2022 18:58:03,2nd,ISE,01:30,09:00
6/12/2022 18:59:31,2nd,ISE,23:30,09:30
6/12/2022 19:00:58,2nd,ISE,02:00,07:00
6/12/2022 19:01:34,2nd,ISE,23:00,08:00
6/12/2022 19:02:44,2nd,ISE,02:30,10:30
6/12/2022 19:05:44,1st,Civil,00:30,09:00
6/12/2022 19:06:24,2nd,EEE,02:00,07:00
6/12/2022 19:06:31,2nd,ISE,02:00,10:00
6/12/2022 19:07:19,2nd,ISE,22:00,07:30
6/12/2022 19:07:26,2nd,ISE,00:00,08:00
6/12/2022 19:07:42,2nd,ISE,00:00,08:30
6/12/2022 19:07:51,1st,EEE,00:30,09:30
6/12/2022 19:08:12,2nd,ISE,00:30,08:30
6/12/2022 19:08:22,2nd,ISE,01:00,08:00
6/12/2022 19:08:41,2nd,ISE,23:00,04:15
6/12/2022 19:08:42,2nd,ISE,23:30,08:30
6/12/2022 19:09:15,3rd,ECE,02:00,08:00
6/12/2022 19:09:51,1st,CSE,00:00,08:00
6/12/2022 19:09:54,1st,Civil,02:22,10:38
6/12/2022 19:11:02,1st,AIML,23:00,06:00
6/12/2022 19:11:04,1st,Civil,22:00,06:00
6/12/2022 19:11:05,1st,AIML,02:00,09:00
6/12/2022 19:11:08,2nd,ISE,23:00,07:30
6/12/2022 19:11:35,2nd,EEE,02:00,07:00
6/12/2022 19:12:01,1st,ECE,00:00,06:00
6/12/2022 19:12:02,1st,AIML,23:00,06:00
6/12/2022 19:12:19,1st,AIML,01:00,09:00
6/12/2022 19:12:27,1st,ISE,02:00,11:00
6/12/2022 19:12:27,1st,ISE,03:00,10:00
6/12/2022 19:12:31,1st,ISE,02:00,07:00
6/12/2022 19:12:31,1st,ECE,01:30,12:08
6/12/2022 19:12:42,1st,AIML,23:00,05:00
6/12/2022 19:12:53,1st,AIML,01:00,08:30
6/12/2022 19:13:09,1st,ISE,00:00,07:00
6/12/2022 19:13:22,2nd,CSE,00:15,08:30
6/12/2022 19:14:03,2nd,CSE,00:30,07:00
6/12/2022 19:14:06,2nd,CSE,23:00,07:30
6/12/2022 19:14:36,1st,AIML,23:00,09:00
6/12/2022 19:14:51,1st,ISE,23:50,06:40
6/12/2022 19:15:13,1st,CSE,01:00,06:30
6/12/2022 19:15:14,1st,Mech,00:00,10:00
6/12/2022 19:15:24,2nd,CSE,21:00,04:00
6/12/2022 19:15:38,2nd,CSE,00:30,08:00
6/12/2022 19:16:14,3rd,CSE,00:30,06:00
6/12/2022 19:17:31,1st,Civil,22:00,07:00
6/12/2022 19:17:53,1st,EEE,02:00,07:00
6/12/2022 19:17:54,1st,AIML,00:30,07:30
6/12/2022 19:18:39,3rd,CSE,02:00,08:00
6/12/2022 19:19:04,1st,Civil,23:00,07:00
6/12/2022 19:20:07,1st,AIML,23:00,08:30
6/12/2022 19:20:12,2nd,ISE,23:30,07:00
6/12/2022 19:20:57,4th,ISE,00:00,07:00
6/12/2022 19:22:22,1st,ISE,00:00,06:30
6/12/2022 19:25:02,2nd,ISE,00:00,08:00
6/12/2022 19:25:16,2nd,ISE,04:00,08:45
6/12/2022 19:25:30,2nd,ECE,00:30,07:00
6/12/2022 19:25:56,2nd,ISE,23:00,08:00
6/12/2022 19:25:56,3rd,ECE,00:00,05:45
6/12/2022 19:26:23,2nd,CSE,00:00,07:25
6/12/2022 19:29:27,1st,Mech,04:00,11:00
6/12/2022 19:30:05,2nd,CSE,02:00,08:30
